Week Nb,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Mean,StdDev,RSD,Excess deaths pM 2020,Cumulative Excess deaths pM 2020,Cumulative Excess deaths 2020,Announced Covid Deaths
1,166.938271,175.988050,176.772365,177.798006,166.877939,196.380221,191.433008,215.264095,201.689425,184.736171,186.666791,185.387755,15.703236,0.084705,1.279036,,,
2,170.739178,170.075528,167.300262,183.288206,170.075528,206.877965,185.520485,219.426993,202.654735,196.802544,202.956394,187.276142,18.343565,0.097949,15.680252,,,
3,171.704488,158.310814,168.024244,181.659246,165.309310,203.740708,184.736171,210.377214,202.956394,190.045375,190.166039,183.686396,17.956932,0.097759,6.479642,,,
4,172.850793,158.069487,168.265572,185.942808,163.499354,202.292744,193.122300,218.763343,200.422456,191.734667,183.469202,185.496352,19.441599,0.104809,-2.027151,,,
5,172.428470,164.585328,169.834200,192.579313,163.378691,200.422456,187.209777,215.626086,205.309337,189.623052,190.528030,186.099671,18.049845,0.096990,4.428359,,,
6,170.799510,161.387739,183.046879,189.623052,172.247475,197.405863,183.167542,207.903607,211.945842,192.156990,192.337986,186.968450,16.218640,0.086745,5.369536,,,
7,174.962409,158.129818,186.365131,182.986547,168.687895,199.758805,182.624556,206.153983,220.814626,196.199225,192.760309,187.668300,18.567086,0.098936,5.092009,,,
8,176.712033,159.939774,183.107211,193.725619,166.093625,203.982036,200.241460,200.784447,222.684914,194.389269,178.280661,190.166039,18.906423,0.099421,-11.885377,,,
9,166.334952,162.051390,184.675839,191.252012,163.680350,193.484291,192.156990,190.166039,237.526553,184.977498,186.304799,186.630591,21.733455,0.116452,-0.325792,,,
10,166.515948,163.740682,178.039334,198.672832,166.696943,194.389269,190.105707,184.253516,246.877992,191.312344,186.606459,188.060457,24.161193,0.128476,-1.453998,,,5
11,162.051390,164.524996,174.419422,183.348538,167.119266,186.184136,184.736171,171.523492,225.218852,194.690929,193.846282,181.381719,18.690163,0.103043,12.464563,12.464563,216,41
12,162.111721,162.051390,169.954864,183.288206,160.603425,184.132852,182.684887,167.601921,206.938297,183.529534,216.953387,176.289710,14.562340,0.082605,40.663677,53.128240,920,328
13,156.018203,165.248978,168.506899,185.037830,162.292717,186.063472,183.227874,171.945815,194.570265,181.779909,267.752817,175.469196,12.409548,0.070722,92.283621,145.411861,2518,1106
14,149.140370,156.380194,169.230882,179.426967,163.318359,171.282165,181.598914,166.757275,183.408870,174.962409,305.761892,169.550640,11.074620,0.065317,136.211252,281.623113,4876,2223
15,155.837207,160.000106,166.334952,184.555175,156.380194,174.238426,166.938271,169.532541,172.549134,174.962409,297.858418,168.132842,9.038099,0.053756,129.725576,411.348689,7123,3201
16,155.716544,162.534045,168.084576,172.488802,157.405836,174.540086,165.972961,163.680350,166.515948,183.408870,260.211334,167.034802,8.226065,0.049248,93.176532,504.525222,8736,4029
17,155.052893,156.319862,167.300262,164.524996,157.466168,170.678846,165.429974,167.601921,160.663757,178.401325,,164.344000,7.225453,0.043965,,,,4538
18,153.001610,153.423933,157.405836,154.449575,152.518955,161.327407,166.153956,167.058934,159.577783,169.291213,,159.420920,6.309943,0.039580,,,,
19,162.111721,157.224840,160.060438,160.000106,157.948823,165.369642,178.099666,169.049886,159.336456,167.179598,,163.638118,6.449213,0.039411,,,,
20,152.337959,153.906588,153.061942,155.113225,158.069487,164.163005,161.146412,168.989554,157.224840,170.196191,,159.420920,6.492287,0.040724,,,,
21,149.924685,153.363601,164.524996,150.769331,154.389243,154.811566,163.680350,167.239930,161.327407,173.333448,,159.336456,7.822592,0.049095,,,,
22,154.871898,149.442030,154.328911,156.923181,151.493313,160.482761,161.810062,162.956368,167.481257,164.826655,,158.461644,5.959212,0.037607,,,,
23,150.950326,149.562694,155.957871,155.475216,150.769331,156.561190,156.078535,158.310814,161.629067,165.067983,,156.036303,4.877815,0.031261,,,,
24,143.107184,150.166012,154.328911,150.708999,146.485768,161.689398,158.069487,159.457119,154.268579,159.879442,,153.816090,6.151106,0.039990,,,,
25,152.941278,145.580790,155.294221,153.182605,147.330415,154.389243,156.681854,158.491810,156.923181,162.534045,,154.334944,5.017788,0.032512,,,,
26,155.656212,152.941278,154.509906,150.407340,149.804021,153.665260,157.405836,162.353049,158.009155,171.040837,,156.579289,6.289839,0.040170,,,,
27,160.060438,158.371146,159.215792,152.820614,160.060438,171.825152,162.473713,162.715040,164.464664,164.404332,,161.641133,4.950220,0.030625,,,,
28,150.769331,151.613977,147.813069,148.476720,154.992561,156.078535,158.491810,152.036300,161.146412,166.515948,,154.793466,5.922436,0.038260,,,,
29,147.390746,142.443533,146.123777,150.105680,169.472209,154.871898,166.093625,161.327407,163.137363,155.897539,,155.686378,9.148067,0.058760,,,,
30,139.607936,146.666764,154.389243,164.344000,160.422429,153.725592,153.363601,155.113225,166.938271,181.417918,,157.598898,11.550110,0.073288,,,,
31,138.099639,149.985017,143.107184,149.985017,150.889995,150.226344,150.829663,151.432981,166.515948,164.766324,,151.583811,8.553435,0.056427,,,,
32,143.650171,142.141874,142.322870,144.132826,153.242937,153.484265,154.328911,160.301766,165.610970,158.552141,,151.776873,8.354798,0.055047,,,,
33,148.657716,145.701454,153.725592,147.330415,146.184109,152.579287,154.932230,153.242937,157.164509,157.586832,,151.710508,4.434399,0.029229,,,,
34,137.375657,143.650171,152.880946,144.917140,149.502362,151.975968,162.956368,153.544597,157.586832,157.767827,,151.215787,7.612352,0.050341,,,,
35,145.761786,148.295724,142.986520,146.968423,161.568735,152.458623,156.319862,155.414884,152.458623,167.843249,,153.007643,7.618367,0.049791,,,,
36,146.787428,152.036300,153.242937,149.442030,158.672805,151.432981,155.897539,155.052893,157.647163,154.147915,,153.435999,3.659116,0.023848,,,,
37,152.217296,143.589839,149.261034,139.426940,152.579287,156.802517,164.404332,163.318359,153.182605,159.276124,,153.405833,8.002160,0.052163,,,,
38,156.500858,147.632074,144.193158,150.708999,156.500858,158.853801,150.829663,163.801014,163.258027,155.656212,,154.793466,6.428171,0.041527,,,,
39,150.708999,156.440526,159.276124,142.926188,149.804021,161.870394,160.784420,161.025748,162.654708,166.093625,,157.158475,7.177066,0.045668,,,,
40,156.742185,149.261034,152.217296,155.414884,159.215792,165.429974,161.870394,159.336456,169.291213,163.680350,,159.245958,6.107887,0.038355,,,,
41,153.423933,153.061942,161.749730,157.104177,157.767827,162.292717,177.013692,166.696943,166.515948,175.626059,,163.125297,8.408587,0.051547,,,,
42,154.147915,153.906588,160.844752,153.423933,159.638115,163.620018,165.550638,163.258027,165.248978,173.574776,,161.321374,6.362745,0.039441,,,,
43,157.405836,160.362097,152.156964,161.629067,154.570238,170.859842,177.858338,161.448071,161.146412,172.971457,,163.040832,8.276942,0.050766,,,,
44,154.389243,160.060438,159.638115,148.959375,159.698447,170.377187,164.766324,164.464664,169.834200,172.066479,,162.425447,7.359213,0.045308,,,,
45,153.363601,154.871898,162.353049,151.010658,159.879442,162.413381,175.686391,168.748227,168.808558,181.659246,,163.879445,9.895736,0.060384,,,,
46,151.975968,162.353049,164.645660,155.113225,167.662253,156.802517,175.083072,175.927719,166.576279,184.434512,,166.057425,10.213709,0.061507,,,,
47,153.363601,165.309310,164.524996,154.751234,167.541589,169.291213,175.445064,175.988050,172.488802,182.141901,,168.084576,9.130267,0.054319,,,,
48,165.067983,167.843249,164.766324,165.490306,167.843249,164.163005,177.918670,174.117763,175.384732,183.227874,,170.582315,6.630481,0.038870,,,,
49,170.859842,168.084576,167.239930,156.742185,173.031789,166.455616,183.529534,182.624556,179.064976,181.779909,,172.941291,8.733117,0.050498,,,,
50,173.333448,175.867387,175.626059,156.259531,186.847786,171.583824,188.778406,194.147942,182.021237,189.924711,,179.439033,11.247963,0.062684,,,,
51,170.739178,169.713536,172.549134,168.144908,188.778406,173.816103,185.339490,185.761813,183.469202,195.173584,,179.348535,9.443818,0.052656,,,,
52,,173.997099,351.553778,166.093625,178.702984,156.380194,200.844779,192.277654,175.022741,180.814600,,197.298606,59.305570,0.300588,,,,
53,,,,,,,176.169046,,,,,176.169046,,,,,,